time,open,high,low,close,volume
2024-12-12 22:29:00+09:00,2.4409,2.4473,2.4402,2.4469,1287987.4
2024-12-12 22:30:00+09:00,2.4469,2.4528,2.4428,2.4456,4365897.0
2024-12-12 22:31:00+09:00,2.4457,2.4468,2.4358,2.4368,1794365.1
2024-12-12 22:32:00+09:00,2.4368,2.4368,2.4080,2.4299,9234680.5
2024-12-12 22:33:00+09:00,2.4299,2.4346,2.4187,2.4243,4774394.0
2024-12-12 22:34:00+09:00,2.4242,2.4301,2.4137,2.4297,3826198.9
2024-12-12 22:35:00+09:00,2.4297,2.4305,2.4181,2.4181,2933420.8
2024-12-12 22:36:00+09:00,2.4180,2.4229,2.4081,2.4154,3759059.3
2024-12-12 22:37:00+09:00,2.4155,2.4160,2.3933,2.4086,6543696.2
2024-12-12 22:38:00+09:00,2.4085,2.4147,2.4013,2.4112,2462453.5
2024-12-12 22:39:00+09:00,2.4111,2.4236,2.4105,2.4211,2697115.2
2024-12-12 22:40:00+09:00,2.4214,2.4223,2.4119,2.4150,2076430.1
2024-12-12 22:41:00+09:00,2.4152,2.4234,2.4139,2.4200,1650026.3
2024-12-12 22:42:00+09:00,2.4199,2.4264,2.4188,2.4255,2277490.4
2024-12-12 22:43:00+09:00,2.4255,2.4285,2.4215,2.4218,1712489.2
2024-12-12 22:44:00+09:00,2.4217,2.4248,2.4164,2.4200,1477228.5
2024-12-12 22:45:00+09:00,2.4199,2.4248,2.4168,2.4177,1345694.3
2024-12-12 22:46:00+09:00,2.4177,2.4192,2.4060,2.4076,1992938.5
2024-12-12 22:47:00+09:00,2.4077,2.4099,2.4006,2.4052,2643367.9
2024-12-12 22:48:00+09:00,2.4051,2.4057,2.3971,2.4023,2335827.9
2024-12-12 22:49:00+09:00,2.4023,2.4074,2.3990,2.4068,1527798.2
2024-12-12 22:50:00+09:00,2.4067,2.4156,2.4061,2.4122,2047286.3
2024-12-12 22:51:00+09:00,2.4121,2.4148,2.4096,2.4103,1328287.8
2024-12-12 22:52:00+09:00,2.4102,2.4153,2.4077,2.4148,1003405.1
2024-12-12 22:53:00+09:00,2.4147,2.4192,2.4127,2.4192,1140091.4
2024-12-12 22:54:00+09:00,2.4192,2.4207,2.4132,2.4138,941083.9
2024-12-12 22:55:00+09:00,2.4137,2.4163,2.4122,2.4153,872552.8
2024-12-12 22:56:00+09:00,2.4154,2.4218,2.4149,2.4154,1519873.2
2024-12-12 22:57:00+09:00,2.4154,2.4181,2.4125,2.4130,872322.8
2024-12-12 22:58:00+09:00,2.4130,2.4134,2.4067,2.4120,1114040.7
2024-12-12 22:59:00+09:00,2.4120,2.4136,2.4093,2.4104,917375.4
2024-12-12 23:00:00+09:00,2.4103,2.4120,2.4054,2.4057,958240.4
2024-12-12 23:01:00+09:00,2.4058,2.4080,2.4018,2.4031,1514924.4
2024-12-12 23:02:00+09:00,2.4031,2.4098,2.4012,2.4087,2127724.6
2024-12-12 23:03:00+09:00,2.4087,2.4164,2.4077,2.4129,1219664.2
2024-12-12 23:04:00+09:00,2.4128,2.4128,2.4059,2.4059,634638.4
2024-12-12 23:05:00+09:00,2.4058,2.4058,2.3991,2.4038,1555183.9
2024-12-12 23:06:00+09:00,2.4038,2.4075,2.4020,2.4027,659918.8
2024-12-12 23:07:00+09:00,2.4028,2.4096,2.3994,2.4016,4797393.9
2024-12-12 23:08:00+09:00,2.4017,2.4070,2.4017,2.4068,830293.6
2024-12-12 23:09:00+09:00,2.4067,2.4134,2.4063,2.4125,970089.4
